name,formattedAddress,lat,long,photoReference,placeID,rating,userRatingsTotal,cityType,cityName,compoundCode,types,hiddenGems,ticketStatus,budget,category,userType,openHours,closeHours,closeDays,description,access,activity,facility,suggestion
Arjasari Rock Hill,"Jl. Wargaluyu, Wargaluyu, Kec. Arjasari, Kabupaten Bandung, Jawa Barat 40379, Indonesia",-7.0355189,107.6091142,ATJ83zi_N_C5UkrZXQHF7N6DhXzWQhtmjEK5KxlnWiPt6o6c1rhFUUNDMJCPf0PJXxqniemr89k5__gcP8v9ajybGk9wIwWlhxVcec2m9Tpfw0swD64yfObcRZp4PStvgMoeDu6s5ThnoyYqwiadfc9iN6-ckT2_wJ7kXO5iqM-728kgjKiv,ChIJoRxMkcbraC4R-wV15sE0JU0,4.4,350,kabupaten,KABUPATEN BANDUNG,"XJ75+QJ Wargaluyu, Bandung Regency, West Java",tourist_attraction|point_of_interest|establishment,Yes,Yes,Medium,Nature|Adventure,Solo|Family|Friends,11.00,20.0,Monday,"Arjasari Rock Hill adalah tempat wisata terbaru di Kabupaten Bandung Provinsi Jawa Barat.Arjasari Rock Hill menyajikan konsep  wisata alam pegunungan dalam balutan trend yang kekinian, dan dilengkapi dengan wahana wisata yang banyak banget.Dengan kata lain Arjasari Rock Hill Bandung menawarkan aktivitas olahraga dan rekreasi dalam satu tempat, dan waktu yang sama.","Anda dapat mencapai Arjasari Rock Hill dari Bandung dengan menggunakan mobil pribadi atau layanan transportasi. Perjalanan dari Bandung akan memakan waktu sekitar 1-2 jam tergantung pada lalu lintas. Rute ke lokasi akan memerlukan perjalanan melalui jalan berliku dan pedesaan, jadi pastikan untuk menggunakan peta atau GPS.",Jelajahi area bukit  untuk menikmati pemandangan alam yang menakjubkan.Ambil foto-foto menakjubkan dari pemandangan alam dan spot foto yang disediakan.Jangan lewatkan momen indah saat matahari terbenam di bukit ini.,Area parkir.Toilet.Mushola.Shelter Wara – Wiri.Kolam Taman Air Terjun.Resto Pendopo Bunda.Rumah Singgah Bunda.Istana Kelinci.Kolam renang.Foodcourt.Playgorund.Flying fox.Cafe.Gazebo.Spot selfie.,Pastikan untuk membawa perlengkapan fotografi jika Anda ingin mengabadikan pemandangan yang indah.Jadwal kunjungan terbaik adalah di pagi atau sore hari untuk menghindari panas berlebihan.
Batu Cinta,"R9M4+F75, Situ, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973, Indonesia",-7.166364300000001,107.3557296,ATJ83zhZcffQUAsycylIflFy3BjBx9oVJVNm_Z9JqOYOfZnPzVTx3qvwfkIHxJjjslRouzBiM3kweDJVeok-Bwnb4Zs72SFK6663SfpUMbrUEhg_TQGKJApnAti9yFEnrzv_7pIybcOcpsv_anzXK2mbve_oUzZgICyDqy4clJv-cLUcGE3_,ChIJNYd998CLaC4R8QgElstXr4M,4.4,173,kabupaten,KABUPATEN BANDUNG,,tourist_attraction|point_of_interest|establishment,Yes,Yes,Low,Nature|Relaxing,Solo|Friends|Couple,06.00,18.0,-,"Batu Cinta merupakan salah satu tempat romantis dan yang menarik di situ patenggang , apabila Anda mengunjungi batu cinta ini bersama pasangan Anda ada cara yang populer yaitu mengelilingi pulau asmara dan mengunjungi batu cinta. Walaupun batu ini hanya sekedar mitos yang berkempang di masyarakat, namun hal ini adalah sebuah kegiatan yang menarik untuk dilalui bersama pasangan anda.","Batu Cinta berjarak sekitar 50-60 kilometer dari pusat kota Bandung. Anda dapat menggunakan kendaraan pribadi atau taksi untuk mencapai lokasi. Perjalanan akan memakan waktu sekitar 2 jam tergantung pada lalu lintas.Anda juga dapat menggunakan angkutan umum seperti bus atau travel dari Bandung menuju arah Lembang. Dari Lembang, Anda dapat menyewa ojek atau taksi untuk mencapai Batu Cinta.",Menikmati keindahan alam dan mengambil foto di sekitar Batu Cinta adalah aktivitas utama di sini.Tempat ini adalah tempat yang bagus untuk bersantai sambil menikmati pemandangan alam yang tenang.,lahan parkir.rumah makan.gazebo.mushola.toilet.penyewaan perahu.sepeda air.toko buah.toko souvenir. penginapan.,"Pakailah pakaian yang nyaman dan cocok untuk cuaca di daerah pegunungan.Jangan lupa membawa air minum dan camilan, terutama jika Anda berniat berlama-lama di sana."
Batu Pabeasan,"XJ2M+MR3, Asrama, Arjasari, Kec. Arjasari, Kabupaten Bandung, Jawa Barat 40379, Indonesia",-7.048359,107.63456,ATJ83zgSKv1lc544FZW-EfqFLd9zvo-kdMEsWRnmGg9plc8fkQaH-rpTw046yPfVfsQYJ9nJgndsnbE1uSlx-9o_-JNPNPWHsuxKqk4i0ILD6K-wknCJWmpqe40-J9dOJXxXuFmyUurlEoRIVNvq3jRFfnOCjmJR-s3YDxoH0K7kM_sgpsaf,ChIJtWl3FKXraC4R0_Si-LuJ8K8,4.7,23,kabupaten,KABUPATEN BANDUNG,,tourist_attraction|point_of_interest|establishment,Yes,Yes,Low,Nature|Adventure,Solo|Couple|Friends,07.00,17.0,-,"Batu Pabeasan adalah sebuah tempat wisata alam yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Tempat ini dikenal karena keindahan alamnya yang menawan dan menawarkan pengunjung pemandangan alam yang spektakuler.","Batu Pabeasan dapat diakses dengan mobil dari pusat Kabupaten Bandung. Dari pusat kota Bandung, perjalanan akan memakan waktu sekitar 1,5 hingga 2 jam tergantung pada lalu lintas. Sebaiknya, gunakan aplikasi peta atau GPS untuk membantu navigasi Anda. Jalan ke Batu Pabeasan bisa cukup berliku, jadi pastikan Anda memiliki keterampilan mengemudi yang baik.",Anda dapat melakukan trekking di sekitar daerah ini dan menikmati keindahan alam.berjemur dan menikmati suasana pagi.,-,"Persiapkan diri Anda dengan pakaian dan alas kaki yang nyaman untuk berjalan di alam terbuka.Jangan lupa membawa air minum dan camilan, karena fasilitas terbatas.Hindari meninggalkan sampah, pastikan untuk membuang sampah Anda dengan benar.Bawalah kamera atau smartphone untuk mengabadikan pemandangan yang menakjubkan."
Batu Templek,"Mekarmanik, Cimenyan, Bandung Regency, West Java 40196, Indonesia",-6.8648725,107.6845666,ATJ83zhSWQwUNT2SNmjNORyrv2Q434mkRrXyhuzpR1CjkqbaWWV-n5BpVW646U1uOeSnnuMU4A86aJPZY8-GvNAa5otdqYFlNLl5udfJFbRFe-nu9reZW7f64floTj4KV-B3EKvjYTSbXeixqxCDfKyen8G_k8GJ5OoQhxqc6HWCNuGL2aSM,ChIJh9UPn_zdaC4R65YSE-o_pwE,4.4,63,kabupaten,KABUPATEN BANDUNG,"4MPM+3R Mekarmanik, Bandung Regency, West Java",tourist_attraction|point_of_interest|establishment,Yes,Yes,Low,Nature|Relaxing,Solo|Friends|Couple,00.00,23.59,-,"Curug Batu Templek yang terletak di Cisanggarung Lebak, Kabupaten Bandung, Jawa Barat, ramai dikunjungi oleh wisatawan. Kawasan wisata ini menawarkan keindahan lanskap alam air terjun yang terbentuk akibat pelapukan batu selama jutaan tahun.","Dari Bandung, pergilah ke arah selatan menuju Cimahi.Ikuti jalan menuju Desa Cihanjuang Rahayu, Kabupaten Bandung.Setelah sampai di desa tersebut, Anda akan menemukan petunjuk arah menuju Curug Batu Templek.Jalan menuju air terjun mungkin agak curam, jadi pastikan kendaraan Anda dalam kondisi baik atau siapkan sepatu yang nyaman untuk berjalan kaki.",Menikmati pemandangan air terjun yang indah.Melakukan trekking dan menjelajahi sekitar alam untuk menikmati keindahan alam sekitar.Fotografi alam dan pemandangan alami.,Area parkir.,"Pastikan Anda membawa air minum, makanan ringan, dan perlengkapan piknik.Kenakan pakaian yang sesuai untuk kegiatan luar ruangan."
Bird Pavilion at Pramestha,"Jl. Akaza Utama No.9, Mekarwangi, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia",-6.840895499999999,107.6376637,ATJ83zi7551zUPB8vc_VyKF0xeo6h2T1KiLta6rKuvah2At7vAf3OLrUjucOieQPPQitve_mSGpJMY1SMsABlkwWPjw7Dq4wB_wusQUXHGif_yxB4JeoDdY7wYu5vPUEzZ774hA4REgFP4fd_HdGhvSFXmRZWAncRJCuQ1iURQoHcRiP_ssa,ChIJISCBFczgaC4RAWCVd1ONVqE,4.3,1580,kabupaten,KABUPATEN BANDUNG,"5J5Q+J3 Mekarwangi, West Bandung Regency, West Java",tourist_attraction|zoo|point_of_interest|establishment,No,Yes,Medium,Edukasi|Relaxing|Entertain,Solo|Friends|Couple|Family,09.00,17.0,-,Bird Pavilion at Pramestha adalah destinasi wisata yang menampilkan keindahan burung-burung eksotis dan beragam spesies. Tempat ini dirancang seperti paviliun besar dengan kandang-kandang burung yang luas dan nyaman. Wisatawan dapat menikmati pemandangan indah burung-burung yang berwarna-warni sambil belajar lebih banyak tentang berbagai jenis burung.,"Lokasi Bird Pavilion at Pramestha dapat diakses dari pusat Kota Bandung dalam waktu sekitar 1,5 hingga 2 jam perjalanan dengan mobil. Anda dapat mengambil rute melalui jalan utama dan mengikuti petunjuk arah yang jelas. Transportasi umum mungkin juga tersedia, tetapi lebih nyaman menggunakan kendaraan pribadi atau kendaraan umum.",Pengunjung dapat menikmati pemandangan burung-burung cantik dan mendengarkan kicauan mereka.Fotografi burung-burung yang eksotis adalah salah satu daya tarik utama. Pastikan untuk membawa kamera.Terdapat area edukasi di mana Anda dapat belajar tentang perilaku dan habitat berbagai spesies burung.,Area parkir.Area makan.Toilet umum.,"Sebaiknya datang pagi agar dapat menikmati burung-burung yang lebih aktif.Gunakan pakaian yang nyaman dan sesuai dengan cuaca, serta sepatu yang cocok untuk berjalan kaki.Patuhi aturan tempat, seperti tidak memberi makanan kepada burung atau mengganggu mereka.Bawa kamera atau ponsel untuk mengabadikan momen-momen berharga."
Bukit Moko,"Cimenyan, Bandung Regency, West Java 40197, Indonesia",-6.8421463,107.67683,ATJ83zgt1teg1oq4I0vFoJuCjC5b8nrsTtZrD44jA-4U1cm90o8ikyTEuzU_riZApVZY1mO_CkNXAI-LAgQP0f6CNksdFyafBPHnYe34Rz55jXND7q-YmgONTet4MtOqU7wdbHqvmz-2MKPrBxqE3mWTWs6cWH48vIVQrEp6sjxgt6thsYEJ,ChIJQ3R59v3daC4RKFb28zEu34Y,4.5,5647,kabupaten,KABUPATEN BANDUNG,"5M5G+4P Cimenyan, Bandung Regency, West Java",tourist_attraction|point_of_interest|establishment,No,Yes,Low,Nature|Adventure,Solo|Friends,00.00,23.59,-,"Bukit Moko adalah destinasi wisata yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Tempat ini menawarkan pemandangan alam yang spektakuler dari ketinggian, termasuk matahari terbit yang indah. Ini adalah tempat yang sempurna bagi pengunjung yang ingin menikmati alam dan udara segar.","Dari pusat Kota Bandung, Anda dapat mengambil perjalanan sekitar 15 kilometer ke arah utara untuk mencapai Bukit Moko.Akses jalan ke sana cukup baik, tetapi beberapa bagian mungkin berliku. Disarankan untuk menggunakan kendaraan pribadi atau jasa transportasi online.","Bukit Moko menawarkan pemandangan yang menakjubkan, terutama saat matahari terbit.Bawa bekal dan nikmati piknik di area yang telah disediakan.Ada jalur hiking yang menawarkan pengalaman berjalan-jalan di alam yang segar.Tempat ini juga populer untuk bermain layang-layang.",Area parkir.Kios makanan.Toilet.,"Datanglah lebih awal untuk menikmati matahari terbit yang indah.Pastikan membawa pakaian hangat, terutama jika Anda berkunjung pada pagi atau malam hari, karena suhu di sini bisa cukup dingin.Bawa bekal atau makanan ringan, tetapi jangan lupa untuk membuang sampah dengan benar."
Bukit panyaungan,"Cisalak, Jatisari, Kec. Cangkuang, Kabupaten Bandung, Jawa Barat 40238, Indonesia",-7.070437,107.537575,ATJ83zgKLP3rIf6W_Nr2erXdT44yLvw0mpxQjoKEwZhML4vNyUNE-LlflHbJlRqA2dc8ImGGhZq5XnEgvajjhH5JgTHpldbTGqGnVD93iJmJ_WDP9xZK0ibE81vgmO2uzMyE9vth0fb9rSSzgzLX6BdBQMbrIclq_UMjX1KqbsAkRHKXDu0J,ChIJHxBLHW_taC4RkG720VqNzfQ,4.7,13,kabupaten,KABUPATEN BANDUNG,"WGHQ+R2 Jatisari, Bandung Regency, West Java",tourist_attraction|point_of_interest|establishment,Yes,Yes,Low,Nature|Adventure,Solo|Friends|Family,00.00,23.59,-,"Bukit Panyaungan adalah bukit hijau yang menawarkan pemandangan alam yang menakjubkan. Terletak di perbukitan, Anda akan dapat menikmati pemandangan lembah yang indah, hamparan kebun teh yang hijau, dan suasana yang segar.","Dari Bandung, pergilah ke arah selatan melalui Jalan Raya Bandung-Ciwidey.Setelah mencapai Ciwidey, Anda akan menemukan petunjuk jalan menuju Bukit Panyaungan.",Menikmati pemandangan alam yang spektakuler.Berjalan-jalan atau trekking di sekitar bukit.Memotret keindahan alam.,-,Pastikan membawa pakaian yang nyaman dan sepatu yang cocok untuk berjalan-jalan.Selalu membawa air minum dan bekal jika Anda berniat untuk piknik.Hindari buang sampah sembarangan dan jaga kebersihan lingkungan.
Cibolang Hot Spring Water,"QJ98+5Q5, Wanasuka, Pangalengan, Bandung Regency, West Java 40378, Indonesia",-7.232114699999999,107.6169741,ATJ83ziGZwpaZN-Trxfi1HiIsQp0rKySc6QiksWdU3Ko1ybJe1waKcZv5gSaMUDaC2xnclkPTxXW_tzOFwTCwt3WyjBLZBgPtsSjo6O1UJNqDggkZZLRQ2VY9phmNvxqRI4ec1H8tE-lpN9NmDCVwtOU_AtEQ9mdMLHhLnxEUF5_L08fHdGf,ChIJr63EXQmXaC4RId2jyPRQmp4,3.6,2670,kabupaten,KABUPATEN BANDUNG,,tourist_attraction|amusement_park|point_of_interest|establishment,No,Yes,Low,Relaxing,Solo|Friends|Couple|Family,07.00,17.0,-,Pemandian Air Panas Cibolang salah satu destinasi wisata di  Bandung yang menarik dan tentunya menghangatkan. Sangat cocok bagi yang ingin menghangatkan tubuh di tengah sejuknya udara Bandung. Air panas di kolam pemandian ini asli langsung dari mata air panas gunung. Membuatnya begitu alami dan mengandung berbagai manfaat bagi tubuh.,"Untuk mencapai Cibolang Hot Spring Water, Anda dapat menggunakan kendaraan pribadi atau layanan transportasi dari Bandung, yang berjarak sekitar 40-50 kilometer. Perjalanan menuju lokasi akan membawa Anda melalui jalan setapak yang indah, dan kemudian Anda harus berjalan kaki sekitar 10-15 menit untuk mencapai sumber air panas.",Tempat ini merupakan latar belakang yang sempurna untuk mengambil foto-foto alam yang menakjubkan.Anda dapat menikmati berendam di air panas alami yang memiliki banyak manfaat untuk kesehatan dan relaksasi.,Area berendam.Toilet.Tempat parkir.Musola.Saung.,"Bawalah pakaian ganti, handuk, dan perlengkapan berenang Anda sendiri."
Cibuni Rengganis Crater,"Patengan, Rancabali, Bandung Regency, West Java 40973, Indonesia",-7.1724375,107.3766875,ATJ83ziXyn3EKfT8ZWPA7zOoFFQvEDKZc7aIJ63pqxmAi9dPAnmA8Qo46DUI8IsY4ctZzPEPGfY6JovMYsm-dXUt5FosgBw3ir8gORI-QznxA6tJiZ5JX729NN7scy-4jdQ8lN-s0o5Ikr2ffnDWoLVBEIv6KXhH-hUmJ6Xf3bMuMu5gQzSY,ChIJ3bAwuvqLaC4RYHMnnPeZeUc,4.4,2790,kabupaten,KABUPATEN BANDUNG,"R9HG+2M Patengan, Bandung Regency, West Java",tourist_attraction|point_of_interest|establishment,Yes,Yes,Medium,Nature|Adventure|Relaxing,Solo|Friends|Couple,07.00,17.0,-,"Cibuni Rengganis Crater adalah sebuah kawah vulkanik yang indah dan belum terlalu dikenal oleh banyak orang. Kawah ini terletak di tengah hutan yang asri, dikelilingi oleh kebun teh yang hijau. Anda akan terpesona oleh pemandangan alam yang spektakuler, termasuk mata air panas dan sungai yang mengalir di sekitar kawasan ini. Area ini juga memiliki beberapa padang rumput yang sempurna untuk piknik dan bersantai.","Anda bisa mencapai Cibuni Rengganis Crater dari pusat Kota Bandung dengan berkendara selama sekitar 2-3 jam, tergantung lalu lintas. Rute akan membawa Anda melalui jalan berliku yang menawarkan pemandangan alam yang menakjubkan. Pastikan untuk menggunakan peta atau GPS untuk memastikan Anda tidak tersesat.",Berjalan-jalan dan menjelajahi kawah vulkanik.Berfoto-foto dengan latar belakang keindahan alam.Mandi di mata air panas.,Warung.,"Kenakan pakaian yang nyaman dan sesuai untuk berjalan-jalan di alam terbuka.Bawa perlengkapan piknik jika Anda berencana makan di sana.Jaga sampah Anda dan bantu menjaga kebersihan alam.Perhatikan cuaca, karena daerah ini bisa menjadi sangat dingin, jadi bawa jaket atau pakaian hangat jika diperlukan."
Curug Akub Cangkring,"Curug, Wargamekar, Kec. Baleendah, Kabupaten Bandung, Jawa Barat 40375, Indonesia",-7.040153099999999,107.6679852,ATJ83zgKLbM2ZpZvgqDWtE3kOEL7JIHIdcfDWWdBzQ8QJPJkV12K2qUG0eWR2SeDoFf-TARUlbf0qguLjZTFXbDspa10HrS3jmQ5O7x-E3nl3LIzxGlit_F0z05usIiPwN-TyMYxOwMFQZwcR89HIc4AXdfxKrHMI8IxMTTNe7Oaoxrc69H3,ChIJt504S3jqaC4RtzcqTHf7yQU,4.2,120,kabupaten,KABUPATEN BANDUNG,"XM59+W5 Wargamekar, Bandung Regency, West Java",tourist_attraction|point_of_interest|establishment,Yes,No,Low,Nature|Adventure,Solo|Family|Friends,06.00,18.0,-,Curug Akub Cangkring adalah sebuah keindahan alam yang tersembunyi di tengah hutan. Air terjun ini memiliki ketinggian sekitar 25 meter dan dikelilingi oleh pepohonan hijau yang membuat suasana sejuk dan alami. Suara gemericik air yang jatuh menambah pesona tempat ini.,"Untuk mencapai Curug Akub Cangkring, Anda dapat menggunakan transportasi pribadi atau jasa layanan transportasi dari pusat Kota Bandung. Setelah tiba di kawasan Curug Akub, Anda perlu melakukan trekking sekitar 1,5 kilometer ke arah selatan hutan. Trekking ini akan membawa Anda ke lokasi air terjun. Pastikan untuk mengenakan sepatu yang nyaman dan membawa air minum.","Anda dapat menikmati keindahan air terjun, hutan, dan sungai di sekitarnya.Curug Akub Cangkring adalah tempat yang ideal untuk fotografi alam.Jika Anda suka petualangan, Anda bisa berenang di kolam air terjun atau menjelajahi sekitar hutan dengan berjalan kaki.",-,"Selalu periksa cuaca sebelum pergi, dan pastikan untuk membawa perlengkapan hujan jika diperlukan.Pakailah pakaian yang nyaman dan sepatu yang sesuai untuk trekking.Jaga kebersihan dengan membawa sampah Anda kembali."
